"","address","name","newprice","oldprice","sales","reserve","general","holiday","link"
"438","
            丰台区
        ","柠檬汇主题量贩KTV","￥7","￥98","381","否","否","否","/deal/25220198"
"439","
            丰台区
        ","岁月如歌量贩式KTV","￥9.9","￥298","677","是","否","否","/deal/21194709"
"440","
            丰台区
        ","金蔓羽ktv","￥9.9","￥88","809","是","否","是","/deal/22068445"
"441","
            丰台区
        ","城南夜语量贩式KTV","￥69.9","￥388","258","否","否","否","/deal/14835677"
"442","
            丰台区
        ","岁月如歌量贩式KTV","￥98","￥598","89","是","否","是","/deal/23460865"
"443","
            丰台区
        ","天贵氧吧量贩ktv","￥128","￥268","123","是","否","是","/deal/23409028"
"444","
            丰台区
        ","音皇乐友汇量贩式KTV","￥68","￥598","299","是","否","是","/deal/22084787"
"445","
            丰台区
        ","天贵氧吧量贩ktv","￥27.8","￥88","200","是","否","是","/deal/23851136"
"446","
            丰台区
        ","红磨坊量贩式KTV","￥19.9","￥399","676","是","否","是","/deal/19577888"
"447","
            丰台区
        ","云水谣KTV","￥10","￥280","177","是","否","是","/deal/25112784"
"448","
            丰台区
        ","城南夜语量贩式KTV","￥49.9","￥603","234","否","否","否","/deal/14596147"
"449","
            丰台区
        ","优酷量贩KTV","￥49.9","￥678","958","是","否","是","/deal/14713712"
"450","
            丰台区
        ","云水谣KTV","￥58","￥680","78","是","否","是","/deal/22942533"
"451","
            丰台区
        ","金地名豪KTV","￥12.6","￥400","630","是","否","是","/deal/21285871"
"452","
            丰台区
        ","五方量贩式主题ktv","￥38","￥108","89","是","否","否","/deal/21763049"
"453","
            丰台区
        ","柠檬汇主题量贩KTV","￥158","￥268","21","否","否","否","/deal/24709022"
"454","
            丰台区
        ","金蔓羽ktv","￥198","￥388","64","是","否","是","/deal/22069401"
"455","
            丰台区
        ","我是歌手量贩式ktv","￥38","￥188","42","是","否","是","/deal/24365474"
"456","
            丰台区
        ","我是歌手量贩式ktv","￥12.8","￥88","149","是","否","是","/deal/24365358"
"457","
            丰台区
        ","五岳山KTV","￥28.8","￥389","80","是","否","是","/deal/24461973"
"458","
            丰台区
        ","海捞歌酷KTV","￥28","￥288","408","否","否","否","/deal/14421113"
"459","
            丰台区
        ","红磨坊量贩式KTV","￥298","￥1180","56","是","否","否","/deal/19579754"
"460","
            丰台区
        ","岁月如歌量贩式KTV","￥198","￥1098","25","是","否","是","/deal/21196590"
"461","
            丰台区
        ","音皇乐友汇量贩式KTV","￥86","￥120","24","是","否","是","/deal/24403492"
"462","
            丰台区
        ","水中花ktv","￥25","￥188","379","是","否","是","/deal/12210212"
"463","
            丰台区
        ","金磨坊KTV","￥198","￥880","23","是","否","是","/deal/20613967"
"464","
            丰台区
        ","金磨坊KTV","￥9.9","￥108","40","是","否","是","/deal/25377759"
"465","
            丰台区
        ","云水谣KTV","￥198","￥980","18","是","否","是","/deal/22942741"
"466","
            丰台区
        ","五岳山KTV","￥9.9","￥389","33","是","否","是","/deal/25186497"
"467","
            丰台区
        ","金蔓羽ktv","￥68","￥188","46","是","否","是","/deal/22068984"
"468","
            丰台区
        ","红磨坊量贩式KTV","￥398","￥1899","24","是","否","否","/deal/19580342"
"469","
            丰台区
        ","摩卡量贩式KTV","￥68","￥598","134","是","否","是","/deal/18977887"
"470","
            丰台区
        ","五号公馆量贩KTV","￥68","￥298","","否","否","是","/deal/24640120"
"471","
            丰台区
        ","岁月如歌量贩式KTV","￥398","￥1998","10","是","否","是","/deal/21196994"
"472","
            丰台区
        ","万寿宫KTV","￥99","￥130","","是","否","是","/deal/24434710"
"473","
            丰台区
        ","金蔓羽ktv","￥398","￥688","8","是","否","是","/deal/22069778"
"474","
            丰台区
        ","云水谣KTV","￥298","￥1098","6","是","否","是","/deal/22943527"
"475","
            丰台区
        ","金磨坊KTV","￥88","￥580","1","是","否","是","/deal/25377808"
"476","
            丰台区
        ","水中花ktv","￥239","￥439","8","否","否","是","/deal/12346790"
"477","
            丰台区
        ","胜泽都俱乐部","￥80","￥400","13","否","否","是","/deal/14186109"
"478","
            丰台区
        ","万寿宫KTV","￥300","￥888","","是","否","是","/deal/24434911"
"479","
            丰台区
        ","摩卡量贩式KTV","￥268","￥539","7","是","否","是","/deal/22042651"
"480","
            丰台区
        ","天天渔港量贩式KTV","￥398","￥1988","","是","否","是","/deal/21053610"
"481","
            丰台区
        ","五号公馆量贩KTV","￥188","￥458","","否","否","是","/deal/24680238"
"482","
            丰台区
        ","音皇乐友汇量贩式KTV","￥188","￥698","1","是","否","是","/deal/22873549"
"483","
            丰台区
        ","五号公馆量贩KTV","￥118","￥398","","否","否","是","/deal/24680081"
"484","
            丰台区
        ","五号公馆量贩KTV","￥88","￥298","","否","否","是","/deal/24661338"
"485","
            丰台区
        ","五号公馆量贩KTV","￥128","￥398","","否","否","是","/deal/24661413"
"486","
            丰台区
        ","金磨坊KTV","￥398","￥1080","4","是","否","是","/deal/20613998"
"487","
            丰台区
        ","音皇乐友汇量贩式KTV","￥298","￥898","3","是","否","是","/deal/22873708"
"488","
            丰台区
        ","音皇乐友汇量贩式KTV","￥238","￥798","7","是","否","是","/deal/22873644"
"489","
            丰台区
        ","摩卡量贩式KTV","￥268","￥539","21","是","否","是","/deal/19544272"
"490","
            丰台区
        ","摩卡量贩式KTV","￥368","￥656","2","是","否","是","/deal/19544637"
"491","
            丰台区
        ","云水谣KTV","￥398","￥1198","2","是","否","是","/deal/22943558"
"492","
            丰台区
        ","水中花ktv","￥288","￥488","6","否","否","是","/deal/12347127"
"493","
            丰台区
        ","水中花","￥352","￥552","2","否","否","是","/deal/12347144"
"494","
            丰台区
        ","水中花ktv","￥346","￥546","3","否","否","是","/deal/12347099"
"495","
            丰台区
        ","水中花ktv","￥294","￥494","","否","否","是","/deal/12347191"
"496","
            丰台区
        ","水中花ktv","￥316","￥516","3","否","否","是","/deal/12346916"
"497","
            丰台区
        ","水中花","￥337","￥537","","否","否","是","/deal/12346940"
"498","
            丰台区
        ","都唛全国连锁量贩ktv","￥289","￥488","28","是","否","是","/deal/26268814"
"499","
            丰台区
        ","都唛全国连锁量贩ktv","￥398","￥598","6","是","否","是","/deal/26268976"
"500","
            丰台区
        ","五色辉煌ktv","￥488","￥1688","1","是","否","是","/deal/26007786"
"501","
            丰台区
        ","五色辉煌ktv","￥18.8","￥398","294","是","否","是","/deal/26052519"
"502","
            丰台区
        ","唱吧麦颂KTV","￥529","￥788","105","是","是","是","/deal/26693641"
"503","
            丰台区
        ","唱吧麦颂KTV","￥429","￥688","98","是","是","是","/deal/26694095"
"504","
            丰台区
        ","唱吧麦颂KTV","￥319","￥488","243","是","是","是","/deal/26693288"
"505","
            丰台区
        ","宝山KTV","￥68","￥598","5","是","否","是","/deal/26514877"
"506","
            丰台区
        ","都唛全国连锁量贩ktv","￥289","￥488","28","是","否","是","/deal/26268814"
"507","
            丰台区
        ","都唛全国连锁量贩ktv","￥398","￥598","6","是","否","是","/deal/26268976"
"508","
            丰台区
        ","都唛全国连锁量贩ktv","￥269","￥388","15","是","否","是","/deal/26268688"
"509","
            丰台区
        ","祥龙湾KTV","￥9.9","￥198","56","是","否","否","/deal/26398634"
"510","
            丰台区
        ","宝山KTV","￥198","￥698","5","是","否","是","/deal/25997997"
"511","
            丰台区
        ","唱吧麦颂KTV","￥199","￥360","130","是","是","是","/deal/26690322"
"512","
            丰台区
        ","唱吧麦颂KTV","￥289","￥460","79","是","是","是","/deal/26691299"
"513","
            丰台区
        ","唱吧麦颂KTV","￥419","￥660","17","是","是","是","/deal/26692611"
"514","
            丰台区
        ","唱吧麦颂KTV","￥239","￥460","76","是","是","是","/deal/26690903"
"515","
            丰台区
        ","唱吧麦颂KTV","￥519","￥760","12","是","是","是","/deal/26692455"
"516","
            丰台区
        ","唱吧麦颂KTV","￥35","￥360","7663","是","是","是","/deal/26591632"
"517","
            丰台区
        ","唱吧麦颂KTV","￥329","￥560","72","是","是","是","/deal/26691389"
"518","
            丰台区
        ","唐时圣宴KTV","￥99","￥199","","是","否","是","/deal/27235532"
"519","
            丰台区
        ","我是歌手量贩式ktv","￥198","￥388","2","是","否","是","/deal/26231023"
"520","
            丰台区
        ","五色辉煌ktv","￥86","￥888","36","是","否","是","/deal/25999815"
"521","
            丰台区
        ","五色辉煌ktv","￥288","￥1188","9","是","否","是","/deal/26007453"
"522","
            丰台区
        ","唱吧麦颂KTV","￥229","￥388","306","是","是","是","/deal/26692858"
"523","
            丰台区
        ","唱吧麦颂KTV","￥269","￥488","536","是","是","是","/deal/26693222"
"524","
            丰台区
        ","唱吧麦颂KTV","￥329","￥488","325","是","是","是","/deal/26694498"
"525","
            丰台区
        ","唱吧麦颂KTV","￥399","￥588","356","是","是","是","/deal/26694692"
"526","
            丰台区
        ","唱吧麦颂KTV","￥439","￥588","158","是","是","是","/deal/26694778"
"527","
            丰台区
        ","唱吧麦颂KTV","￥539","￥688","134","是","是","是","/deal/26694909"
"528","
            丰台区
        ","唱吧麦颂KTV","￥269","￥488","555","是","是","是","/deal/26694394"
"529","
            丰台区
        ","唱吧麦颂KTV","￥359","￥588","399","是","是","是","/deal/26693472"
"530","
            丰台区
        ","唱吧麦颂KTV","￥45","￥560","25741","是","是","是","/deal/26602077"
"531","
            丰台区
        ","唱吧麦颂KTV","￥229","￥388","374","是","是","是","/deal/26694190"
"532","
            丰台区
        ","唱吧麦颂KTV","￥45","￥560","32214","是","是","是","/deal/26601913"
"533","
            丰台区
        ","五方量贩式主题ktv","￥18","￥68","","是","否","是","/deal/27983793"
"534","
            丰台区
        ","我是歌手量贩式ktv","￥298","￥488","3","是","否","是","/deal/26231113"
"535","
            丰台区
        ","我是歌手量贩式ktv","￥398","￥588","3","是","否","是","/deal/26231216"
"536","
            丰台区
        ","唐时圣宴KTV","￥38.8","￥254","969","是","否","是","/deal/26662509"
"537","
            丰台区
        ","岁月如歌量贩式KTV","￥20","￥298","26","是","否","是","/deal/26864017"
"538","
            通州区
        ","宝乐迪量贩KTV","￥36","￥360","673","否","否","是","/deal/23923372"
"539","
            通州区
        ","t-nine时尚主题KTV","￥58","￥88","186","是","否","是","/deal/24349059"
"540","
            通州区
        ","天颐源KTV","￥29.9","￥60","421","是","否","是","/deal/21765000"
"541","
            通州区
        ","金帝辉煌KTV","￥49","￥688","640","是","否","否","/deal/21765633"
"542","
            通州区
        ","宝乐迪量贩KTV","￥188","￥298","159","否","否","否","/deal/19641305"
"543","
            通州区
        ","金色KTV","￥38","￥152","398","是","否","是","/deal/8712090"
"544","
            通州区
        ","首席KTV（通州店）","￥288","￥472","81","否","否","是","/deal/21566592"
"545","
            通州区
        ","t-nine时尚主题KTV","￥98","￥188","47","是","否","是","/deal/24349115"
"546","
            通州区
        ","高山红量贩式纯K","￥56","￥232","34","是","否","是","/deal/24598350"
"547","
            通州区
        ","金帝辉煌KTV","￥29","￥298","281","是","否","否","/deal/21709539"
"548","
            通州区
        ","t-nine时尚主题KTV","￥158","￥288","33","是","否","是","/deal/24348853"
"549","
            通州区
        ","天宫音乐量贩KTV","￥10","￥360","204","是","否","是","/deal/23204228"
"550","
            通州区
        ","首席KTV","￥88","￥206","15","否","否","是","/deal/20155963"
"551","
            通州区
        ","天宫音乐量贩KTV","￥198","￥660","45","是","否","是","/deal/23204842"
"552","
            通州区
        ","天赐情缘KTV","￥198","￥568","14","是","否","是","/deal/23100141"
"553","
            通州区
        ","沃玛传说KTV","￥50","￥88","8","是","否","是","/deal/23620980"
"554","
            通州区
        ","天宫音乐量贩KTV","￥68","￥560","27","是","否","是","/deal/23204656"
"555","
            通州区
        ","宝乐迪量贩KTV","￥368","￥478","45","否","否","否","/deal/19641428"
"556","
            通州区
        ","金色KTV","￥58","￥232","129","是","否","是","/deal/9248661"
"557","
            通州区
        ","金帝辉煌KTV","￥29","￥298","101","是","否","否","/deal/21765582"
"558","
            通州区
        ","宝乐迪量贩KTV","￥258","￥368","52","否","否","否","/deal/19641404"
"559","
            通州区
        ","首席KTV（通州店）","￥208","￥336","19","否","否","是","/deal/21566270"
"560","
            通州区
        ","t-nine时尚主题KTV","￥198","￥288","9","是","否","是","/deal/24349184"
"561","
            通州区
        ","高山红量贩式纯K","￥228","￥658","7","是","否","是","/deal/24599223"
"562","
            通州区
        ","金帝辉煌KTV","￥49","￥688","87","是","否","否","/deal/21765709"
"563","
            通州区
        ","天颐源KTV","￥59.9","￥100","30","否","否","是","/deal/21765009"
"564","
            通州区
        ","天赐情缘KTV","￥168","￥468","4","是","否","是","/deal/25745914"
"565","
            通州区
        ","首席KTV（通州店）","￥388","￥680","18","否","否","是","/deal/21566675"
"566","
            通州区
        ","t-nine时尚主题KTV","￥200","￥388","5","是","否","是","/deal/24348988"
"567","
            通州区
        ","首席KTV","￥128","￥316","20","否","否","是","/deal/20156528"
"568","
            通州区
        ","天赐情缘KTV","￥288","￥899","6","是","否","是","/deal/23104355"
"569","
            通州区
        ","首席KTV（通州店）","￥138","￥285","6","否","否","是","/deal/21571431"
"570","
            通州区
        ","首席KTV","￥158","￥416","14","否","否","是","/deal/20156637"
"571","
            通州区
        ","首席KTV（通州店）","￥188","￥345","6","否","否","是","/deal/21567485"
"572","
            通州区
        ","金色KTV","￥88","￥352","22","是","否","是","/deal/9248703"
"573","
            通州区
        ","宝乐迪量贩KTV","￥428","￥518","20","否","否","否","/deal/19641465"
"574","
            通州区
        ","首席KTV（通州店）","￥888","￥1475","4","否","否","是","/deal/21566871"
"575","
            通州区
        ","首席KTV（通州店）","￥238","￥560","4","否","否","是","/deal/21567235"
"576","
            通州区
        ","金色KTV","￥108","￥432","16","是","否","是","/deal/9248765"
"577","
            通州区
        ","宝乐迪量贩KTV","￥768","￥1048","3","否","否","否","/deal/19641648"
"578","
            通州区
        ","天颐源KTV","￥280","￥710","31","否","否","是","/deal/14786433"
"579","
            通州区
        ","宝乐迪量贩KTV","￥638","￥838","1","否","否","否","/deal/19641588"
"580","
            通州区
        ","天宫音乐量贩KTV","￥298","￥760","4","是","否","是","/deal/23204955"
"581","
            通州区
        ","鑫达里日月星乐缘KTV","￥50","￥88","2","是","否","是","/deal/25380840"
"582","
            通州区
        ","天宫音乐量贩KTV","￥398","￥860","2","是","否","是","/deal/23223279"
"583","
            通州区
        ","首席KTV（通州店）","￥588","￥945","1","否","否","是","/deal/21567095"
"584","
            通州区
        ","首席KTV","￥298","￥726","1","否","否","是","/deal/20156720"
"585","
            通州区
        ","天颐源KTV","￥480","￥1060","11","否","否","是","/deal/19545236"
"586","
            通州区
        ","天宫音乐量贩KTV","￥1298","￥1598","","是","否","是","/deal/26725859"
"587","
            通州区
        ","天宫音乐量贩KTV","￥898","￥1098","","是","否","是","/deal/26725818"
"588","
            通州区
        ","唱吧麦颂KTV","￥229","￥388","306","是","是","是","/deal/26692858"
"589","
            通州区
        ","唱吧麦颂KTV","￥269","￥488","536","是","是","是","/deal/26693222"
"590","
            通州区
        ","唱吧麦颂KTV","￥359","￥588","399","是","是","是","/deal/26693472"
"591","
            通州区
        ","唱吧麦颂KTV","￥45","￥560","32214","是","是","是","/deal/26601913"
"592","
            通州区
        ","天宫音乐量贩KTV","￥598","￥798","","是","否","是","/deal/26725733"
"593","
            通州区
        ","天宫音乐量贩KTV","￥398","￥598","","是","否","是","/deal/26725458"
"594","
            通州区
        ","七品量贩KTV","￥28","￥598","225","否","否","是","/deal/27020221"
"595","
            通州区
        ","唱吧麦颂KTV","￥529","￥788","105","是","是","是","/deal/26693641"
"596","
            通州区
        ","唱吧麦颂KTV","￥429","￥688","98","是","是","是","/deal/26694095"
"597","
            通州区
        ","唱吧麦颂KTV","￥319","￥488","243","是","是","是","/deal/26693288"
"598","
            昌平区
        ","千子桐KTV","￥9.9","￥218","7325","是","否","否","/deal/22788779"
"599","
            昌平区
        ","开心果KTV","￥10","￥21","2534","是","否","是","/deal/23754910"
"600","
            昌平区
        ","爱奇艺秘宅","￥29.9","￥60","1042","是","否","是","/deal/24724918"
"601","
            昌平区
        ","龙城金晔四纪ktv","￥19.9","￥128","2336","是","否","是","/deal/14624029"
"602","
            昌平区
        ","歌友汇量贩KTV（昌平店）","￥59","￥468","2440","否","否","否","/deal/8568526"
"603","
            昌平区
        ","奥雅主题式量贩KTV","￥58","￥299","1058","否","否","是","/deal/17639490"
"604","
            昌平区
        ","5号量贩式KTV（天通苑店）","￥19.9","￥367.5","1631","否","否","否","/deal/22810851"
"605","
            昌平区
        ","同乐迪量贩式KTV（昌平店）","￥21.9","￥69.9","1520","否","否","否","/deal/13929089"
"606","
            昌平区
        ","天赐情缘KTV","￥60","￥188","477","是","否","是","/deal/20539719"
"607","
            昌平区
        ","千子桐KTV","￥136","￥785","197","是","否","否","/deal/22803407"
"608","
            昌平区
        ","天秤座量贩式KTV旗靓店","￥9.9","￥188","1317","是","否","否","/deal/21444545"
"609","
            昌平区
        ","天赐情缘KTV","￥9.9","￥88","1086","是","否","是","/deal/20538842"
"610","
            昌平区
        ","鑫海林ktv","￥6.6","￥132","461","是","否","是","/deal/14361271"
"611","
            昌平区
        ","开心果KTV","￥168","￥369","62","是","否","否","/deal/22475185"
"612","
            昌平区
        ","影爱唱K","￥119","￥276","55","否","否","是","/deal/23718199"
"613","
            昌平区
        ","同乐迪量贩式KTV（昌平店）","￥9.9","￥89.9","377","否","否","是","/deal/25481086"
"614","
            昌平区
        ","唱响人生ktv","￥9.9","￥188","185","是","否","是","/deal/24078448"
"615","
            昌平区
        ","天秤座量贩式KTV旗靓店","￥258","￥488","39","是","否","否","/deal/21444233"
"616","
            昌平区
        ","影爱唱K","￥199","￥446","29","否","否","否","/deal/23718289"
"617","
            昌平区
        ","烨凤凰KTV","￥9.9","￥198","212","否","否","是","/deal/23948721"
"618","
            昌平区
        ","影爱唱K","￥119","￥399","19","否","否","否","/deal/23718481"
"619","
            昌平区
        ","影爱唱K","￥89","￥303","42","否","否","否","/deal/23718102"
"620","
            昌平区
        ","鑫海林ktv","￥138","￥329","103","是","否","否","/deal/17295553"
"621","
            昌平区
        ","夜尚倾城ktv","￥9.9","￥188","212","是","否","是","/deal/22420469"
"622","
            昌平区
        ","盛世豪歌KTV","￥268","￥497","37","是","否","否","/deal/20594908"
"623","
            昌平区
        ","影爱唱K","￥269","￥546","16","否","否","是","/deal/23718432"
"624","
            昌平区
        ","同乐迪量贩式KTV（昌平店）","￥33","￥89.9","200","否","否","否","/deal/17639477"
"625","
            昌平区
        ","春花秋月ktv","￥168","￥368","19","否","否","是","/deal/24636555"
"626","
            昌平区
        ","利平KTV","￥158","￥298","18","是","否","是","/deal/22218897"
"627","
            昌平区
        ","西元ktv","￥58","￥158","2","否","否","是","/deal/24706001"
"628","
            昌平区
        ","影爱唱K","￥169","￥453","7","否","否","是","/deal/23718758"
"629","
            昌平区
        ","开心果KTV","￥228","￥399","12","是","否","否","/deal/22475378"
"630","
            昌平区
        ","影爱唱K","￥259","￥642","9","否","否","否","/deal/23718563"
"631","
            昌平区
        ","夜尚倾城ktv","￥40","￥388","39","是","否","是","/deal/22440892"
"632","
            昌平区
        ","天秤座量贩式KTV旗靓店","￥358","￥588","21","是","否","否","/deal/21444446"
"633","
            昌平区
        ","影爱唱K","￥189","￥396","5","否","否","是","/deal/23718228"
"634","
            昌平区
        ","影爱唱K","￥159","￥423","1","否","否","否","/deal/23718127"
"635","
            昌平区
        ","春花秋月ktv","￥358","￥850","10","否","否","是","/deal/24636589"
"636","
            昌平区
        ","影爱唱K","￥299","￥715","5","否","否","是","/deal/23718854"
"637","
            昌平区
        ","春花秋月ktv","￥308","￥598","6","否","否","是","/deal/24636588"
"638","
            昌平区
        ","盛世豪歌KTV","￥88","￥108","4","是","否","是","/deal/23647696"
"639","
            昌平区
        ","天秤座量贩式KTV旗靓店","￥178","￥488","7","是","否","否","/deal/21444887"
"640","
            昌平区
        ","盛世豪歌KTV","￥108","￥168","1","是","否","是","/deal/23647864"
"641","
            昌平区
        ","烨凤凰KTV","￥398","￥1688","9","是","否","是","/deal/20113145"
"642","
            昌平区
        ","广宇量贩式KTV","￥9.9","￥688","5","否","否","否","/deal/22379639"
"643","
            昌平区
        ","影爱唱K","￥369","￥678","1","否","否","是","/deal/23718454"
"644","
            昌平区
        ","影爱唱K","￥299","￥578","1","否","否","否","/deal/23718331"
"645","
            昌平区
        ","利平KTV","￥288","￥398","6","是","否","是","/deal/22218947"
"646","
            昌平区
        ","春花秋月ktv","￥528","￥1280","2","否","否","是","/deal/24636590"
"647","
            昌平区
        ","春花秋月ktv・","￥85","￥385","","是","否","是","/deal/24636535"
"648","
            昌平区
        ","烨凤凰KTV","￥39.9","￥198","8","是","否","是","/deal/25573281"
"649","
            昌平区
        ","盛世豪歌KTV","￥368","￥598","7","是","否","否","/deal/20604883"
"650","
            昌平区
        ","利平KTV","￥488","￥698","","是","否","是","/deal/22218982"
"651","
            昌平区
        ","盛世豪歌KTV","￥568","￥1120","1","是","否","否","/deal/20594851"
"652","
            昌平区
        ","开心果KTV","￥9.9","￥21","8223","是","否","否","/deal/14842577"
"653","
            昌平区
        ","58量贩KTV","￥408","￥508","","是","否","是","/deal/26434551"
"654","
            昌平区
        ","58量贩KTV","￥198","￥258","","是","否","是","/deal/26434410"
"655","
            昌平区
        ","58量贩KTV","￥158","￥258","","是","否","是","/deal/26434196"
"656","
            昌平区
        ","天秤座主题量贩KTV","￥68.8","￥198","64","否","否","否","/deal/26187386"
"657","
            昌平区
        ","唱吧麦颂KTV","￥199","￥360","130","是","是","是","/deal/26690322"
